name,store,price,evaluate_num
OPPO A1 全面屏拍照 3GB+32GB 樱桃红 全网通 移动联通电信4G 双卡双待,OPPO手机京东自营官方旗舰店,￥999.00,6400+条评价
三星 Galaxy S9+（SM-G9650/DS）6GB+128GB 勃艮第红 移动联通电信4G 双卡双待,三星手机京东自营官方旗舰店,￥6999.00,2.2万+条评价
努比亚（nubia） V18 全面屏 长续航 4GB+64GB 曜石黑 移动联通电信全网通4G 双卡双待,努比亚京东自营官方旗舰店,￥1299.00,3800+条评价
捷语（GoFly） 三防老人 直板按键超长待机老年 移动联通双卡双待 标配版 将军黄 移动/联通,千索贸易手机专营店,￥148.00,2800+条评价
小米MIX2S 全面屏游戏8GB+256GB 黑色 全网通4G 陶瓷,小米京东官方自营旗舰店,￥3999.00,3.6万+条评价
魅族 魅蓝5s 全网通公开版 3GB+16GB 月光银 移动联通电信4G 双卡双待,魅族京东自营官方旗舰店,￥599.00,8.3万+条评价
华为 HUAWEI nova 青春版 4GB+64GB 樱语粉 移动联通电信4G 双卡双待,华为京东自营官方旗舰店,￥1499.00,11万+条评价
OPPO A3全面屏拍照 4GB+128GB 石榴红 全网通 移动联通电信4G 双卡双待,OPPO手机京东自营官方旗舰店,￥1999.00,9400+条评价
锤子（smartisan ) 坚果 Pro 2 6G+64GB 纯白色（限量版） 全面屏双摄  全网通4G 双卡双待 游戏,锤子科技京东自营官方旗舰店,￥2299.00,35万+条评价
华为畅享7 Plus 4GB+64GB 香槟金 移动联通电信4G 双卡双待,华为京东自营官方旗舰店,￥1299.00,15万+条评价
新诺基亚（NOKIA）105 黑色 直板按键 移动联通2G 老人 学生备用功能机,诺基亚手机京东自营旗舰店,￥149.00,34万+条评价
诺基亚（NOKIA） 诺基亚 105 移动联通2G 新诺基亚105 黑色(单卡) 老人机 直板学生,佳沪手机旗舰店,￥149.00,2800+条评价
克里特（kreta） ONE 高端轻奢商务特色 全网通4G 双卡双摄 AI智能助理 6+128G 小牛皮湖蓝色,克里特KRETA手机官方旗舰店,￥8999.00,30+条评价
